filename,text
deu-573753cf.flac,die Quadratwurzelfunktion
deu-574644c5.flac,die Exponentialfunktion
deu-5758185f.flac,das Allzeichen
deu-590af9c3.flac,die vertikale Asymptote
deu-5919cbf2.flac,die Teilung
deu-5a079aa5.flac,die Menge der rationalen Zahlen
deu-5a44a9a7.flac,die Sekante
deu-5be90f97.flac,die Parallele
deu-5cce78ac.flac,die Möglichkeit
deu-5cf64408.flac,die gerade Funktion
deu-5de678a1.flac,das Einsetzungsverfahren
deu-5eedfc94.flac,die ungerade Potenz
deu-5ffeab1d.flac,die Ableitung
deu-6007aab3.flac,die Breite
deu-610f4fb9.flac,benötigen
deu-6179b90f.flac,die Seitenlänge
deu-618c14f0.flac,der Ring
deu-6212e8ba.flac,das Fallen
deu-6316bac1.flac,das Pluszeichen
deu-63b0e41c.flac,die graphische Lösung
deu-63ec4f5c.flac,die Aufgabe
deu-640e63c7.flac,der Vektor
deu-6412a4ab.flac,die zweite Wurzel aus 2
deu-64f19b0f.flac,der Inkreis
deu-6540bf98.flac,die identische Funktion
deu-6680ee89.flac,die relative Häufigkeit
deu-66cddf5c.flac,das lineare Gleischungssystem
deu-66dd372a.flac,der Grenzwert
deu-67e4650f.flac,die Hälfte
deu-68a05f25.flac,die Tangente an der Stelle
deu-68c3c2b3.flac,abzählen
deu-68cfab3a.flac,die Wurzel aus x
deu-69578a3c.flac,der natürliche Logarithmus
deu-697301f9.flac,die Kreiszahl Pi
deu-69e06323.flac,die Aussage
deu-6a09bb39.flac,definieren
deu-6ac58d7c.flac,die gerade Potenz
deu-6ac80944.flac,auf einer Geraden liegen
deu-6af364a0.flac,die Potenz
deu-6b151005.flac,der Teiler
deu-6b155c5d.flac,die Gerade
deu-6b8b911d.flac,der Nachfolger
deu-6c6e659f.flac,der Mittelpunkt des Umkreises
deu-6ca88002.flac,der Kreis um A mit Radius r
deu-6cff2439.flac,der Zehnerlogarithmus
deu-6d647a2a.flac,der Schnittpunkt
deu-6dd44e43.flac,ausfüllen
deu-6e641754.flac,das Diagramm
deu-6e725a82.flac,das Substrahieren
deu-6e7b2fd3.flac,die Kante
deu-6fcd189f.flac,das Koordinatensystem
deu-6fd106af.flac,die Reihe
deu-6fdb3b36.flac,das Multiplikationszeichen
deu-6feed6dd.flac,die Potenzfunktion
deu-700a25fd.flac,die Abszissenachse
deu-700cbbbc.flac,der Logarithmus
deu-70455cc4.flac,das Potenzieren
deu-705dcd99.flac,ausklammern
deu-71513b07.flac,betrachten
deu-715f4c7a.flac,die Komplementbildung
deu-71e25ca9.flac,das Monom
deu-72cd7750.flac,die Exponentialfunktion zur Basis a
deu-73512639.flac,die Rechtskurve
deu-7452e1c2.flac,der Funktionsterm
deu-7583ef4b.flac,die Bedingung erfüllen
deu-759bc676.flac,das Viertel
deu-75b9ed33.flac,der Exponentialwert von 6 zur Basis 3
deu-762da4bc.flac,das Zahlenpaar
deu-7747c97e.flac,der Quotient
deu-781d4faf.flac,das halboffene Intervall
deu-78970c30.flac,die Wurzel
deu-78cb9df8.flac,der Ereignisraum
deu-78d62419.flac,die Summe
deu-78e98a11.flac,die Winkelhalbierende
deu-7ac763ba.flac,die waagerechte Asymptote
deu-7c2da4cc.flac,die Basis
deu-7c37c50a.flac,anstelle y einsetzen
deu-7c93c80b.flac,das Axiom
deu-7d0f8256.flac,die Steigerung
deu-7d85dd8a.flac,das Vielfache
deu-7da2fc46.flac,die dritte Wurzel aus 2
deu-7e4f0966.flac,das Zufallsexperiment
deu-7f862b66.flac,die Ebene
deu-803d537e.flac,der x-Wert
deu-807dcc4a.flac,der Wendepunkt
deu-80ff581c.flac,eine Gleichung ausetzen
deu-812f3033.flac,die disjunkten Teile
deu-817e4ee1.flac,eine Operation ausführen
deu-81a86d29.flac,der Radius
deu-81a8e48a.flac,der Abstand zwischen zwei Kurven
deu-82561b16.flac,das Zweiersystem
deu-8282dd54.flac,die Termdarstellung
deu-82facd06.flac,das Variationsverhalten
deu-8324e7d8.flac,die Formel
deu-83bbca07.flac,die Produktdarstellung
deu-83c5cf4b.flac,die Längeneinheit
deu-84602e71.flac,der Ableitungswert
deu-848c6af6.flac,die Stichprobe
deu-849f2d9e.flac,das Gegenbeispiel
deu-857739f7.flac,die Darstellung
deu-857a42ff.flac,die Stammfunktion
deu-85d0156f.flac,die ganzrationale Funktion
deu-865a0b9b.flac,das Polynom
deu-86e33aea.flac,die Rechnung
deu-86fa8537.flac,die Wurzel ziehen
deu-87409560.flac,das Element einer Menge
deu-88eb0563.flac,die notwendige Bedingung
deu-890a0ced.flac,das Rechteck
deu-89beaeff.flac,die Quadratwurzel
deu-8a652b52.flac,die Erhebung
deu-8a94e735.flac,die Ableitung von f an der Stelle x
deu-8bb1f3fb.flac,der Satz von Pythagoras
deu-8c170e9d.flac,der Vorzeichenwechsel
deu-8c44eff3.flac,das Folgeglied
deu-8c7e3b1a.flac,der Ursprung eines Koordinatensystems
deu-8d1b32e7.flac,die Vervielfachung
deu-8d1c9809.flac,die lineare Optimierung
deu-8d42aab1.flac,die geordnete Auswahl
